January	Feburary	March	April	May	June	July	August	September	October	November	December
											
											
5.2	8.5	9.7	18.299999999999997	25.099999999999998	38.5	44.3	40.5	33.5	22.5	14.4	6.300000000000001
6.0	5.3999999999999995	8.299999999999999	17.0	26.699999999999996	38.0	42.099999999999994	40.9	33.800000000000004	23.900000000000002	16.099999999999998	7.600000000000001
7.9	6.8	9.199999999999998	16.7	29.299999999999994	40.1	41.5	40.199999999999996	33.300000000000004	21.6	16.499999999999996	9.500000000000002
10.6	6.0	10.899999999999999	17.5	31.099999999999998	38.2	38.9	39.3	36.300000000000004	24.1	17.599999999999998	7.3000000000000025
9.100000000000001	9.3	11.7	17.3	30.099999999999998	39.60000000000001	40.3	39.5	37.900000000000006	24.9	15.699999999999996	6.500000000000003
7.600000000000001	9.600000000000001	9.8	17.5	28.6	37.30000000000001	39.49999999999999	39.7	37.10000000000001	23.299999999999997	15.399999999999997	4.8000000000000025
4.400000000000001	10.5	11.0	20.2	29.6	39.000000000000014	41.3	42.4	35.10000000000001	23.099999999999994	14.499999999999996	9.000000000000002
5.500000000000001	9.9	13.700000000000001	23.6	29.3	38.10000000000001	42.2	42.599999999999994	32.900000000000006	22.699999999999996	16.799999999999997	9.700000000000003
3.3000000000000007	5.1000000000000005	16.000000000000004	24.500000000000004	30.300000000000004	39.500000000000014	43.10000000000001	43.29999999999999	36.400000000000006	22.899999999999995	17.099999999999998	11.300000000000002
5.600000000000001	5.700000000000001	15.200000000000006	23.500000000000007	29.800000000000004	39.600000000000016	42.900000000000006	40.499999999999986	36.50000000000001	20.099999999999998	17.199999999999996	10.200000000000003
4.100000000000001	6.400000000000001	14.800000000000006	20.800000000000008	30.500000000000007	40.60000000000002	43.2	42.19999999999999	36.800000000000004	21.199999999999996	16.9	9.900000000000002
10.5	12.3	14.100000000000005	21.000000000000007	28.70000000000001	39.80000000000002	43.3	42.599999999999994	36.400000000000006	25.199999999999996	16.799999999999997	13.0
10.0	12.100000000000001	12.900000000000004	19.60000000000001	26.20000000000001	39.60000000000002	44.199999999999996	45.89999999999999	36.7	27.9	20.4	11.8
12.6	8.8	10.400000000000006	20.90000000000001	26.70000000000001	39.50000000000003	44.99999999999999	44.79999999999999	38.2	26.999999999999993	19.699999999999996	13.999999999999998
9.8	6.800000000000001	10.300000000000006	20.800000000000008	28.000000000000007	39.50000000000003	47.5	44.499999999999986	37.2	25.099999999999998	18.199999999999996	10.4
10.0	3.6000000000000005	11.600000000000005	20.800000000000008	27.000000000000007	37.60000000000003	45.0	40.999999999999986	37.0	24.999999999999993	16.699999999999996	12.399999999999999
9.5	8.100000000000001	14.400000000000006	19.10000000000001	27.500000000000007	36.00000000000003	42.900000000000006	39.999999999999986	36.4	25.899999999999995	16.299999999999997	8.799999999999999
10.0	8.900000000000002	14.400000000000004	19.40000000000001	26.500000000000007	35.900000000000034	41.7	39.29999999999999	35.2	26.399999999999995	16.499999999999996	9.799999999999999
9.8	12.200000000000001	14.500000000000004	18.90000000000001	28.700000000000003	37.30000000000003	44.300000000000004	39.89999999999999	34.7	24.299999999999997	14.499999999999996	10.7
